iter	Passed	Remaining
1235	66802	3459
1236	66861	3405
1237	66912	3351
1238	66971	3297
1239	67022	3243
1240	67079	3189
1241	67121	3134
1242	67177	3080
1243	67224	3026
1244	67279	2972
1245	67332	2918
1246	67388	2864
1247	67444	2810
1248	67499	2756
1249	67560	2702
1250	67609	2648
1251	67665	2594
1252	67710	2539
1253	67757	2485
1254	67822	2431
1255	67871	2377
1256	67918	2323
1257	67977	2269
1258	68026	2215
1259	68075	2161
1260	68121	2106
1261	68175	2052
1262	68226	1998
1263	68274	1944
1264	68326	1890
1265	68368	1836
1266	68433	1782
1267	68534	1729
1268	68635	1676
1269	68734	1623
1270	68819	1570
1271	68903	1516
1272	68986	1463
1273	69093	1410
1274	69171	1356
1275	69285	1303
1276	69373	1249
1277	69457	1195
1278	69560	1142
1279	69654	1088
1280	69743	1034
1281	69841	980
1282	69945	926
1283	70025	872
1284	70101	818
1285	70198	764
1286	70284	709
1287	70392	655
1288	70495	601
1289	70591	547
1290	70659	492
1291	70750	438
1292	70839	383
1293	70915	328
1294	71033	274
1295	71125	219
1296	71215	164
1297	71298	109
1298	71380	54
1299	71430	0
